(250,  -52.21) 
(251,  -52.11) 
(252,  -52.00) 
(252,  -52.00) 
(253,  -51.72) 
(254,  -51.44) 
(255,  -51.17) 
(256,  -50.89) 
(257,  -50.61) 
(258,  -50.33) 
(259,  -50.06) 
(260,  -49.78) 
(261,  -49.50) 
(262,  -49.22) 
(263,  -48.94) 
(264,  -48.67) 
(265,  -48.39) 
(266,  -48.11) 
(267,  -47.83) 
(268,  -47.56) 
(269,  -47.28) 
(270,  -47.00) 
(271,  -46.72) 
(272,  -46.44) 
(273,  -46.17) 
(274,  -45.89) 
(275,  -45.61) 
(276,  -45.33) 
(277,  -45.06) 
(278,  -44.78) 
(279,  -44.50) 
(280,  -44.22) 
(281,  -43.94) 
(282,  -43.67) 
(283,  -43.39) 
(284,  -43.11) 
(285,  -42.83) 
(286,  -42.56) 
(287,  -42.28) 
(288,  -42.00) 
(288,  -42.00) 
(289,  -41.40) 
(290,  -40.80) 
(291,  -40.20) 
(292,  -39.60) 
(293,  -39.00) 
(294,  -38.40) 
(295,  -37.80) 
(296,  -37.20) 
(297,  -36.60) 
(298,  -36.00) 
(299,  -35.40) 
(300,  -34.80) 
(301,  -34.20) 
(302,  -33.60) 
(303,  -33.00) 
(304,  -32.40) 
(305,  -31.80) 
(306,  -31.20) 
(307,  -30.60) 
(308,  -30.00) 
(309,  -29.40) 
(310,  -28.80) 
(311,  -28.20) 
(312,  -27.60) 
(313,  -27.00) 
(314,  -26.40) 
(315,  -25.80) 
(316,  -25.20) 
(317,  -24.60) 
(318,  -24.00) 
(318,  -24.00) 
(319,  -23.08) 
(320,  -22.15) 
(321,  -21.23) 
(322,  -20.31) 
(323,  -19.38) 
(324,  -18.46) 
(325,  -17.54) 
(326,  -16.62) 
(327,  -15.69) 
(328,  -14.77) 
(329,  -13.85) 
(330,  -12.92) 
(331,  -12.00) 
(332,  -11.08) 
(333,  -10.15) 
(334,  -9.23) 
(335,  -8.31) 
(336,  -7.38) 
(337,  -6.46) 
(338,  -5.54) 
(339,  -4.62) 
(340,  -3.69) 
(341,  -2.77) 
(342,  -1.85) 
(343,  -0.92) 
(344,  0.00) 
(345,  4.10) 
(346,  6.15) 
(347,  8.20) 
(348,  10.25) 
